island,bill_length_mm,flipper_length_mm,sex
Torgersen,39.1,181,MALE
Torgersen,39.5,186,FEMALE
Torgersen,40.3,195,FEMALE
Torgersen,,,
Torgersen,36.7,193,FEMALE
Torgersen,39.3,190,MALE
Torgersen,38.9,181,FEMALE
Torgersen,39.2,195,MALE
Torgersen,34.1,193,
Torgersen,42,190,
Torgersen,37.8,186,
Torgersen,37.8,180,
Torgersen,41.1,182,FEMALE
Torgersen,38.6,191,MALE
Torgersen,34.6,198,MALE
Torgersen,36.6,185,FEMALE
Torgersen,38.7,195,FEMALE
Torgersen,42.5,197,MALE
Torgersen,34.4,184,FEMALE
Torgersen,46,194,MALE
Biscoe,37.8,174,FEMALE
Biscoe,37.7,180,MALE
Biscoe,35.9,189,FEMALE
Biscoe,38.2,185,MALE
Biscoe,38.8,180,MALE
Biscoe,35.3,187,FEMALE
Biscoe,40.6,183,MALE
Biscoe,40.5,187,FEMALE
Biscoe,37.9,172,FEMALE
Biscoe,40.5,180,MALE
Dream,39.5,178,FEMALE
Dream,37.2,178,MALE
Dream,39.5,188,FEMALE
Dream,40.9,184,MALE
Dream,36.4,195,FEMALE
Dream,39.2,196,MALE
Dream,38.8,190,MALE
Dream,42.2,180,FEMALE
Dream,37.6,181,FEMALE
Dream,39.8,184,MALE
Dream,36.5,182,FEMALE
Dream,40.8,195,MALE
Dream,36,186,FEMALE
Dream,44.1,196,MALE
Dream,37,185,FEMALE
Dream,39.6,190,MALE
Dream,41.1,182,MALE
Dream,37.5,179,
Dream,36,190,FEMALE
Dream,42.3,191,MALE
Biscoe,39.6,186,FEMALE
Biscoe,40.1,188,MALE
Biscoe,35,190,FEMALE
Biscoe,42,200,MALE
Biscoe,34.5,187,FEMALE
Biscoe,41.4,191,MALE
Biscoe,39,186,FEMALE
Biscoe,40.6,193,MALE
Biscoe,36.5,181,FEMALE
Biscoe,37.6,194,MALE
Biscoe,35.7,185,FEMALE
Biscoe,41.3,195,MALE
Biscoe,37.6,185,FEMALE
Biscoe,41.1,192,MALE
Biscoe,36.4,184,FEMALE
Biscoe,41.6,192,MALE
Biscoe,35.5,195,FEMALE
Biscoe,41.1,188,MALE
Torgersen,35.9,190,FEMALE
Torgersen,41.8,198,MALE
Torgersen,33.5,190,FEMALE
Torgersen,39.7,190,MALE
Torgersen,39.6,196,FEMALE
Torgersen,45.8,197,MALE
Torgersen,35.5,190,FEMALE
Torgersen,42.8,195,MALE
Torgersen,40.9,191,FEMALE
Torgersen,37.2,184,MALE
Torgersen,36.2,187,FEMALE
Torgersen,42.1,195,MALE
Torgersen,34.6,189,FEMALE
Torgersen,42.9,196,MALE
Torgersen,36.7,187,FEMALE
Torgersen,35.1,193,MALE
Dream,37.3,191,FEMALE
Dream,41.3,194,MALE
Dream,36.3,190,MALE
Dream,36.9,189,FEMALE
Dream,38.3,189,MALE
Dream,38.9,190,FEMALE
Dream,35.7,202,FEMALE
Dream,41.1,205,MALE
Dream,34,185,FEMALE
Dream,39.6,186,MALE
Dream,36.2,187,FEMALE
Dream,40.8,208,MALE
Dream,38.1,190,FEMALE
Dream,40.3,196,MALE
Dream,33.1,178,FEMALE
Dream,43.2,192,MALE
Biscoe,35,192,FEMALE
Biscoe,41,203,MALE
Biscoe,37.7,183,FEMALE
Biscoe,37.8,190,MALE
Biscoe,37.9,193,FEMALE
Biscoe,39.7,184,MALE
Biscoe,38.6,199,FEMALE
Biscoe,38.2,190,MALE
Biscoe,38.1,181,FEMALE
Biscoe,43.2,197,MALE
Biscoe,38.1,198,FEMALE
Biscoe,45.6,191,MALE
Biscoe,39.7,193,FEMALE
Biscoe,42.2,197,MALE
Biscoe,39.6,191,FEMALE
Biscoe,42.7,196,MALE
Torgersen,38.6,188,FEMALE
Torgersen,37.3,199,MALE
Torgersen,35.7,189,FEMALE
Torgersen,41.1,189,MALE
Torgersen,36.2,187,FEMALE
Torgersen,37.7,198,MALE
Torgersen,40.2,176,FEMALE
Torgersen,41.4,202,MALE
Torgersen,35.2,186,FEMALE
Torgersen,40.6,199,MALE
Torgersen,38.8,191,FEMALE
Torgersen,41.5,195,MALE
Torgersen,39,191,FEMALE
Torgersen,44.1,210,MALE
Torgersen,38.5,190,FEMALE
Torgersen,43.1,197,MALE
Dream,36.8,193,FEMALE
Dream,37.5,199,MALE
Dream,38.1,187,FEMALE
Dream,41.1,190,MALE
Dream,35.6,191,FEMALE
Dream,40.2,200,MALE
Dream,37,185,FEMALE
Dream,39.7,193,MALE
Dream,40.2,193,FEMALE
Dream,40.6,187,MALE
Dream,32.1,188,FEMALE
Dream,40.7,190,MALE
Dream,37.3,192,FEMALE
Dream,39,185,MALE
Dream,39.2,190,MALE
Dream,36.6,184,FEMALE
Dream,36,195,FEMALE
Dream,37.8,193,MALE
Dream,36,187,FEMALE
Dream,41.5,201,MALE
Dream,46.5,192,FEMALE
Dream,50,196,MALE
Dream,51.3,193,MALE
Dream,45.4,188,FEMALE
Dream,52.7,197,MALE
Dream,45.2,198,FEMALE
Dream,46.1,178,FEMALE
Dream,51.3,197,MALE
Dream,46,195,FEMALE
Dream,51.3,198,MALE
Dream,46.6,193,FEMALE
Dream,51.7,194,MALE
Dream,47,185,FEMALE
Dream,52,201,MALE
Dream,45.9,190,FEMALE
Dream,50.5,201,MALE
Dream,50.3,197,MALE
Dream,58,181,FEMALE
Dream,46.4,190,FEMALE
Dream,49.2,195,MALE
Dream,42.4,181,FEMALE
Dream,48.5,191,MALE
Dream,43.2,187,FEMALE
Dream,50.6,193,MALE
Dream,46.7,195,FEMALE
Dream,52,197,MALE
Dream,50.5,200,FEMALE
Dream,49.5,200,MALE
Dream,46.4,191,FEMALE
Dream,52.8,205,MALE
Dream,40.9,187,FEMALE
Dream,54.2,201,MALE
Dream,42.5,187,FEMALE
Dream,51,203,MALE
Dream,49.7,195,MALE
Dream,47.5,199,FEMALE
Dream,47.6,195,FEMALE
Dream,52,210,MALE
Dream,46.9,192,FEMALE
Dream,53.5,205,MALE
Dream,49,210,MALE
Dream,46.2,187,FEMALE
Dream,50.9,196,MALE
Dream,45.5,196,FEMALE
Dream,50.9,196,FEMALE
Dream,50.8,201,MALE
Dream,50.1,190,FEMALE
Dream,49,212,MALE
Dream,51.5,187,MALE
Dream,49.8,198,FEMALE
Dream,48.1,199,FEMALE
Dream,51.4,201,MALE
Dream,45.7,193,FEMALE
Dream,50.7,203,MALE
Dream,42.5,187,FEMALE
Dream,52.2,197,MALE
Dream,45.2,191,FEMALE
Dream,49.3,203,MALE
Dream,50.2,202,MALE
Dream,45.6,194,FEMALE
Dream,51.9,206,MALE
Dream,46.8,189,FEMALE
Dream,45.7,195,FEMALE
Dream,55.8,207,MALE
Dream,43.5,202,FEMALE
Dream,49.6,193,MALE
Dream,50.8,210,MALE
Dream,50.2,198,FEMALE
Biscoe,46.1,211,FEMALE
Biscoe,50,230,MALE
Biscoe,48.7,210,FEMALE
Biscoe,50,218,MALE
Biscoe,47.6,215,MALE
Biscoe,46.5,210,FEMALE
Biscoe,45.4,211,FEMALE
Biscoe,46.7,219,MALE
Biscoe,43.3,209,FEMALE
Biscoe,46.8,215,MALE
Biscoe,40.9,214,FEMALE
Biscoe,49,216,MALE
Biscoe,45.5,214,FEMALE
Biscoe,48.4,213,MALE
Biscoe,45.8,210,FEMALE
Biscoe,49.3,217,MALE
Biscoe,42,210,FEMALE
Biscoe,49.2,221,MALE
Biscoe,46.2,209,FEMALE
Biscoe,48.7,222,MALE
Biscoe,50.2,218,MALE
Biscoe,45.1,215,FEMALE
Biscoe,46.5,213,FEMALE
Biscoe,46.3,215,MALE
Biscoe,42.9,215,FEMALE
Biscoe,46.1,215,MALE
Biscoe,44.5,216,
Biscoe,47.8,215,MALE
Biscoe,48.2,210,FEMALE
Biscoe,50,220,MALE
Biscoe,47.3,222,MALE
Biscoe,42.8,209,FEMALE
Biscoe,45.1,207,FEMALE
Biscoe,59.6,230,MALE
Biscoe,49.1,220,FEMALE
Biscoe,48.4,220,MALE
Biscoe,42.6,213,FEMALE
Biscoe,44.4,219,MALE
Biscoe,44,208,FEMALE
Biscoe,48.7,208,MALE
Biscoe,42.7,208,FEMALE
Biscoe,49.6,225,MALE
Biscoe,45.3,210,FEMALE
Biscoe,49.6,216,MALE
Biscoe,50.5,222,MALE
Biscoe,43.6,217,FEMALE
Biscoe,45.5,210,FEMALE
Biscoe,50.5,225,MALE
Biscoe,44.9,213,FEMALE
Biscoe,45.2,215,MALE
Biscoe,46.6,210,FEMALE
Biscoe,48.5,220,MALE
Biscoe,45.1,210,FEMALE
Biscoe,50.1,225,MALE
Biscoe,46.5,217,FEMALE
Biscoe,45,220,MALE
Biscoe,43.8,208,FEMALE
Biscoe,45.5,220,MALE
Biscoe,43.2,208,FEMALE
Biscoe,50.4,224,MALE
Biscoe,45.3,208,FEMALE
Biscoe,46.2,221,MALE
Biscoe,45.7,214,FEMALE
Biscoe,54.3,231,MALE
Biscoe,45.8,219,FEMALE
Biscoe,49.8,230,MALE
Biscoe,46.2,214,
Biscoe,49.5,229,MALE
Biscoe,43.5,220,FEMALE
Biscoe,50.7,223,MALE
Biscoe,47.7,216,FEMALE
Biscoe,46.4,221,MALE
Biscoe,48.2,221,MALE
Biscoe,46.5,217,FEMALE
Biscoe,46.4,216,FEMALE
Biscoe,48.6,230,MALE
Biscoe,47.5,209,FEMALE
Biscoe,51.1,220,MALE
Biscoe,45.2,215,FEMALE
Biscoe,45.2,223,MALE
Biscoe,49.1,212,FEMALE
Biscoe,52.5,221,MALE
Biscoe,47.4,212,FEMALE
Biscoe,50,224,MALE
Biscoe,44.9,212,FEMALE
Biscoe,50.8,228,MALE
Biscoe,43.4,218,FEMALE
Biscoe,51.3,218,MALE
Biscoe,47.5,212,FEMALE
Biscoe,52.1,230,MALE
Biscoe,47.5,218,FEMALE
Biscoe,52.2,228,MALE
Biscoe,45.5,212,FEMALE
Biscoe,49.5,224,MALE
Biscoe,44.5,214,FEMALE
Biscoe,50.8,226,MALE
Biscoe,49.4,216,MALE
Biscoe,46.9,222,FEMALE
Biscoe,48.4,203,FEMALE
Biscoe,51.1,225,MALE
Biscoe,48.5,219,FEMALE
Biscoe,55.9,228,MALE
Biscoe,47.2,215,FEMALE
Biscoe,49.1,228,MALE
Biscoe,47.3,216,
Biscoe,46.8,215,MALE
Biscoe,41.7,210,FEMALE
Biscoe,53.4,219,MALE
Biscoe,43.3,208,FEMALE
Biscoe,48.1,209,MALE
Biscoe,50.5,216,FEMALE
Biscoe,49.8,229,MALE
Biscoe,43.5,213,FEMALE
Biscoe,51.5,230,MALE
Biscoe,46.2,217,FEMALE
Biscoe,55.1,230,MALE
Biscoe,44.5,217,
Biscoe,48.8,222,MALE
Biscoe,47.2,214,FEMALE
Biscoe,,,
Biscoe,46.8,215,FEMALE
Biscoe,50.4,222,MALE
Biscoe,45.2,212,FEMALE
Biscoe,49.9,213,MALE
